Duration (in seconds),Participation,Q1,Q2,Q3,Q4,Q5,I6,I7,I8,I9,I10,I11,I12,U6,U7,U8,U9,U10,U11,U12
259,Yes,Female,High School,Caucasian or White,Hillary Clinton,6,,,,,,,,7,7,7,1.1,1.1,1.1,4
434,Yes,Male,Some College,Caucasian or White,Other,4,,,,,,,,4.8,2,6.5,2.5,1,1,4
245,Yes,Female,Some College,Caucasian or White,Donald Trump,7,,,,,,,,7,2,7,1,1,1,2
174,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,3,1.1,1.1,1.1,1.9,1.1,1.1,4,,,,,,,
178,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,2.8,,,,,,,,1,1,1,2.2,3.7,1,5.1
194,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,5.5,,,,,,,,7,4.5,4,1,1,1,1
354,Yes,Male,Master's Degree,Asian,Did not vote,7,,,,,,,,1,1,1,6,4,6,4
125,Yes,Male,Bachelor's Degree,Caucasian or White,Hillary Clinton,2.1,1,1.9,2,7,6.1,5.8,4,,,,,,,
234,Yes,Male,Bachelor's Degree,Caucasian or White,Other,6.6,,,,,,,,1,1,1,4,4.1,4,7
249,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5,1,1,2,6,4,3,6,,,,,,,
89,Yes,Female,Some College,Caucasian or White,Hillary Clinton,4.2,1.7,1.1,3.7,4.6,4.6,4.2,6,,,,,,,
135,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.5,6,5,4.6,1.5,5,2.3,4,,,,,,,
254,Yes,Female,High School,Caucasian or White,Donald Trump,7,7,1,7,1,1,1,1,,,,,,,
161,Yes,Female,High School,Caucasian or White,Other,7,,,,,,,,7,7,7,3.9,4.7,2.8,4
182,Yes,Male,Some College,Caucasian or White,Other,3,1,1,1,2.9,1.9,2.1,4.6,,,,,,,
212,Yes,Female,Some College,Caucasian or White,Hillary Clinton,6.6,,,,,,,,1,1,2,7,6.1,6,6.1
156,Yes,Male,Bachelor's Degree,Hispanic or Latino,Did not vote,7,1,1,1.4,7,7,5,3.8,,,,,,,
147,Yes,Female,Bachelor's Degree,Caucasian or White,Donald Trump,5,,,,,,,,2,1,5.5,1,1,1,2.5
197,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,5.2,1,1,3.2,1,1,1,5.2,,,,,,,
169,Yes,Male,Bachelor's Degree,Caucasian or White,Did not vote,1.5,,,,,,,,2.5,1.1,4.5,2,1.1,1.1,1.1
118,Yes,Male,Some College,Caucasian or White,Did not vote,4.1,1.6,1.5,1.9,1.3,1.7,1.2,2.1,,,,,,,
446,Yes,Female,High School,Caucasian or White,Donald Trump,6.1,,,,,,,,6.7,1.2,6.1,1.8,1.9,6.5,6
169,Yes,Female,Some College,Caucasian or White,Donald Trump,7,7,7,6.5,1,1,1,3,,,,,,,
262,Yes,Male,Master's Degree,Caucasian or White,Donald Trump,7,,,,,,,,7,1.1,6.9,1,3,1,2
79,Yes,Male,Bachelor's Degree,Caucasian or White,Donald Trump,4.7,,,,,,,,6.2,2,3.6,3.4,3.3,4.6,3
127,Yes,Male,Bachelor's Degree,African American or Black,Hillary Clinton,4,,,,,,,,1,1,1,4,1,1,4
179,Yes,Female,Bachelor's Degree,Caucasian or White,Hillary Clinton,4.2,,,,,,,,1.4,1.4,1.7,1.6,2.3,1.7,4
172,Yes,Male,Some College,Caucasian or White,Hillary Clinton,5.1,,,,,,,,1,1,1,2.5,2.5,1.5,6.1
